tagName,parentTag,priority,category
Broad Shoulders,INVERTED TRIANGLE,,BODY TYPE
Narrow Hips,,,
Straight Or Slightly Defined Waist ,,,
,,,
Narrow Shoulders,PEAR SHAPED,,
Smaller Bust,,,
Heavier Thighs,,,
Well-defined Waist,,,
,,,
Broad Shoulders,APPLE SHAPED,,
Less-defined Waist,,,
Narrow Hips,,,
,,,
Proportionately Balanced Shoulders & Hips,HOUR GLASS,,
Well-defined Narrow Waist ,,,
Full Bust,,,
Rounded Bottom,,,
,,,
Undefined Waist,RECTANGLE,,
Straight Hips,,,
Well Aligned Shoulders & Hips,,,
Small To Average Bust,,,
,,,
Narrow Hips ,OVAL,,
Wide Waist,,,
Slender Legs,,,
Large Bust,,,
,,,
Broad Hips,DIAMOND,,
Undefined & Wide Waist,,,
Heavy Thighs,,,
Slender Arms,,,
Slender Calves,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
vacation,,,OCCASION
dayout / casual,,,
college,,,
nightout,,,
office,,,
festive season,,,
gym,,,
winter,,,
summer,,,
spring,,,
,,,
15-20,,,AGE
21-25,,,
26-30,,,
31-35,,,
36-40,,,
41-45,,,
46-50,,,
,,,
footwear,FOOTWEAR,,ITEMS
boots,,,
heels,,,
sandals,,,
laceup flats/tie up flats,,,
bellies,,,
flip flops,,,
sneakers,,,
loafers,,,
blockheels,,,
stilettos,,,
flats,,,
pumps,,,
wedge,,,
brogues,,,
sports shoes,,,
shoes,,,
moccasins,,,
,,1,
jeans,JEANS,1,
boyfriend jeans,JEANS,1,
distressed jeans,JEANS,1,
skinny jeans,JEANS,2,
joggers,JEANS,2,
high rise jeans,JEANS,3,
capri,JEANS,2,
tights,JEANS,2,
leggings,JEANS,1,
ripped jeans,JEANS,2,
flared jeans,JEANS,2,
jeggings,JEANS,3,
mom jeans,JEANS,2,
straight legged jeans,JEANS,,
,,1,
pants,PANTS,3,
dress pants,PANTS,1,
palazzo pants,PANTS,1,
wide leg pants,PANTS,2,
corduroy pants,PANTS,1,
cropped pants,PANTS,2,
culottes,PANTS,3,
trousers,PANTS,3,
jogger pants,PANTS,3,
track pants,PANTS,2,
chino,PANTS,,
,,1,
bags,BAGS,3,
travel bag,BAGS,3,
duffle bag,BAGS,2,
backpacks,BAGS,2,
Purse,BAGS,1,
handbag,BAGS,1,
sling,BAGS,1,
crossbody,BAGS,2,
tote,BAGS,2,
clutch,BAGS,,
,,,
,,1,
dress,DRESS,3,
jumpsuit,DRESS,2,
maxi dress,DRESS,3,
romper,DRESS,1,
shirtdress,DRESS,1,
sleeveless dress,DRESS,2,
slip dress,DRESS,1,
lbd,DRESS,2,
tunic,DRESS,2,
wrap dresses,DRESS,2,
midi,DRESS,1,
skaterdress,DRESS,2,
slipdress,DRESS,3,
dungaree,DRESS,3,
playsuit,DRESS,,
,,,
,,1,
skirt,SKIRT,1,
pencil skirt,SKIRT,2,
maxiskirt,SKIRT,,
a line skirt,SKIRT,1,
miniskirt,SKIRT,,
,,1,
top,TOP,1,
tshirt,TOP,1,
crop top,TOP,3,
button down shirt,TOP,2,
blouse,TOP,1,
cami,TOP,3,
shirt,TOP,2,
tubetop,TOP,2,
maxitop,TOP,3,
bralette,TOP,2,
tank top,TOP,,
,,1,
jacket,JACKET,2,
moto jacket,JACKET,3,
leather jackets,JACKET,,
,,1,
coat,COAT,2,
trench coat,COAT,3,
duster coat,COAT,,
,,1,
shrug,SHRUG,2,
kimonos,SHRUG,3,
cape,SHRUG,,
,,1,
accessories,ACCESSORIES,3,
beanie,ACCESSORIES,2,
scarves,ACCESSORIES,1,
belt,ACCESSORIES,2,
sunglasses,ACCESSORIES,,
,,1,
shorts,SHORTS,,
,,1,
sweater,SWEATER,1,
oversized sweater,SWEATER,3,
hoodie,SWEATER,1,
turtleneck,SWEATER,2,
cowl,SWEATER,2,
cardigan,SWEATER,3,
sweatshirt,,,
,,,
black wardrobe,,,TRENDS
capsule wardrobe,,,TRENDS
chambray,,,TRENDS
chiffon blouse,,,TRENDS
corduroy,,,TRENDS
earthy colors,,,TRENDS
feminine menswear,,,TRENDS
flowy shorts,,,TRENDS
fringe,,,TRENDS
laceup flats,,,TRENDS
layering,,,TRENDS
minimalist,,,TRENDS
overalls,,,TRENDS
patterned,,,TRENDS
berets,,,TRENDS
sock boots,,,TRENDS
prints,,,TRENDS
rompers,,,TRENDS
striped,,,TRENDS
oversized knits,,,TRENDS
white blazer,,,TRENDS
millenial pink,,,TRENDS
bucket bags,,,TRENDS
shoulder bags,,,TRENDS
gingham pattern,,,TRENDS
laced shoes,,,TRENDS
cold shoulder,,,TRENDS
denim,,,TRENDS
bell sleeves,,,TRENDS
patches,,,TRENDS
metallic,,,TRENDS
off shoulder,,,TRENDS
lbd,,,TRENDS
leather,,,TRENDS
monochorme / solids,,,TRENDS
graphics tees,,,TRENDS
colourblock,,,TRENDS
plaid,,,TRENDS
peplum,,,TRENDS
polka dots,,,TRENDS
houndstooth,,,TRENDS
distressed,,,TRENDS
floral dress/top,,,TRENDS
velvet,,,TRENDS
fur,,,TRENDS
crop top,,,TRENDS
specks,,,TRENDS
mesh,,,TRENDS
sheer,,,TRENDS
animalprint,,,TRENDS
sequin,,,TRENDS
cutout,,,TRENDS
fishnet,,,TRENDS
laceup,,,TRENDS
crochet,,,TRENDS
bellsleeves,,,TRENDS
checkered,,,TRENDS
kimono,,,TRENDS
asymmetrical,,,TRENDS
gingham,,,TRENDS
highlow,,,TRENDS
satin,,,TRENDS
solid,,,TRENDS
ruffles,,,TRENDS
oneshoulder,,,TRENDS
highwaisted,,,TRENDS
quilted,,,TRENDS
littleblackdress,,,TRENDS
glitter,,,TRENDS
oxford,,,TRENDS
pleated,,,TRENDS
booties,,,TRENDS
carodaur,,,TRENDS
ribbed,,,TRENDS
backless,,,TRENDS
knit,,,TRENDS
cuff,,,TRENDS
embellished,,,TRENDS
pointedtoe,,,TRENDS
pastel,,,TRENDS
embroidered,,,TRENDS
coords,,,TRENDS
,,,
white,,,COLOR
black,,,COLOR
grey,,,COLOR
maroon,,,COLOR
brown,,,COLOR
beige,,,COLOR
olive green,,,COLOR
blue,,,COLOR
yellow,,,COLOR
orange,,,COLOR
green,,,COLOR
neon,,,COLOR
multicolor,,,COLOR
light,,,COLOR
dark,,,COLOR
,,,
boho,,,APPEARANCE
chic,,,APPEARANCE
artsy,,,APPEARANCE
sexy,,,APPEARANCE
casual,,,APPEARANCE
sophisticated,,,APPEARANCE
tomboy,,,APPEARANCE
rocker,,,APPEARANCE
preppy,,,APPEARANCE
sporty,,,APPEARANCE
stylish,,,APPEARANCE
